#3.50,-44.919395399899699
#3.51,-44.925977482485990
#3.52,-44.931895788446525
#3.53,-44.937432300751922
#3.54,-44.942594138194899
#3.55,-44.947388661626732
#3.56,-44.951822928906552
#3.57,-44.955903801237874
#3.57370926,-44.957329112602601
#3.58,-44.959638129402165
#3.59,-44.963033171503348
#3.60,-44.966094960715864
#3.61,-44.968830348112235
#3.62,-44.971245987102364
#3.63,-44.973347604338635
#3.64,-45.245620545078680
#3.65,-44.975920429470719
3.66,-44.978772096337892
3.67,-44.979743296112616
3.68,-44.980432369861155
3.69,-44.980844775377093
3.70,-44.980986220149774
3.71,-44.980862895635589
3.72,-44.980480039154152
3.73,-44.979842765626195
3.74,-44.978956289269426
3.75,-44.977825897136533
#3.76,-44.976456821943231
#3.77,-44.974853780172168
#3.86,-44.954190961132241
#3.87,-44.947017548068835
#3.88,-44.943153813043651
#3.89,-44.939110115091665
#3.90,-45.336202262366683
